              0         1
const  9.271900  9.286247
x1    -0.004752  0.006596
x2     0.141577  0.152399
x3    -0.238858 -0.230409
x4    -0.263793 -0.252926
x5     0.299305  0.314409
x6     0.060160  0.061510
x7    -0.008507  0.006707
x8    -0.002994  0.001904
x9    -0.013222 -0.008371
x10   -0.073096 -0.066730
x11   -0.036065 -0.031254
x12   -0.039981 -0.034663
x13   -0.126979 -0.120820
x14   -0.001124  0.004228
x15   -0.002857  0.003031
x16   -0.001201  0.004320
x17   -0.010386 -0.006375
x18   -0.005840 -0.000332
x19   -0.145105 -0.136405
x20   -0.040637 -0.038635
x21   -0.003253  0.005556
